Date,Open,High,Low,Close,Volume
2023-01-02,150,152,149.5,151,1000000
2023-01-03,152.3,153.5,151,152,1100000
2023-01-04,151.5,152,150,151.8,1050000
2023-01-05,153,154.5,152,154,1200000
2023-01-06,155,156,154,155.5,1150000
2023-01-09,154.2,155,153.5,154.8,1130000
2023-01-10,156,157.5,155,157,1250000
2023-01-11,157.5,158,156,157.8,1300000
2023-01-12,158,159.5,157,158.5,1280000
2023-01-13,159,160,158,159.5,1350000
2023-01-14,160.4795535,157.2352293,160.4934196,159.4027342,1329504
2023-01-15,160.3321939,160.5841084,161.1428178,160.6863733,1335794
2023-01-16,158.5407923,158.1661506,156.79019,157.8323777,1325228
2023-01-17,158.0211492,157.2511975,155.7821114,157.0181527,1371207
2023-01-18,157.6143099,159.8839755,162.8207538,160.1063464,1378047
2023-01-19,155.8284803,156.3279749,155.9692035,156.0418863,1397084
2023-01-20,155.1301046,154.9397108,156.8119971,155.6272708,1376359
2023-01-21,155.2135085,154.7353941,153.8761535,154.608352,1391956
2023-01-22,154.2252734,154.4203331,149.3136008,152.6530691,1395669
2023-01-23,154.7913483,155.840944,156.728449,155.7869138,1408607
2023-01-24,154.8147015,155.9413837,159.5509157,156.7690003,1369356
2023-01-25,157.870005,156.5952287,156.9787643,157.1479993,1348925
2023-01-26,156.28911,161.0668674,157.03809,158.1313558,1344941
2023-01-27,156.4880402,158.05773,153.2868639,155.9442114,1314806
2023-01-28,156.101093,158.8267192,155.0018494,156.6432205,1271821
2023-01-29,158.373313,153.3695068,160.6163098,157.4530432,1225957
2023-01-30,158.2912091,159.1026997,157.221205,158.2050379,1251563
2023-01-31,158.1037724,159.6650861,161.3488858,159.7059148,1250914
2023-02-01,157.9581352,156.9771627,158.6750703,157.8701227,1213116
2023-02-02,155.0172118,156.5334843,153.891981,155.147559,1209910
2023-02-03,154.9329209,155.2525031,153.6711756,154.6188665,1249056
2023-02-04,157.6046583,159.2617862,157.5162311,158.1275585,1289737
2023-02-05,158.1423846,156.559299,158.1674235,157.6230357,1270413
2023-02-06,159.5466851,159.1942459,156.9564637,158.5657982,1256625
2023-02-07,157.8715478,157.9392368,157.2956534,157.702146,1221276
2023-02-08,156.1177598,157.1574848,154.5127055,155.9293167,1182506
2023-02-09,157.5564183,158.5707885,153.7509211,156.6260427,1160100
2023-02-10,154.3155782,151.5849897,155.8124122,153.9043267,1185389
2023-02-11,155.2564821,152.524528,158.4015621,155.3941907,1173024
2023-02-12,155.0550198,154.8603617,157.1111901,155.6755239,1184000
2023-02-13,153.8103671,153.9462597,151.9058253,153.2208174,1209619
2023-02-14,152.5803215,153.6703693,150.9947019,152.4151309,1194009
2023-02-15,151.6262955,152.6505034,150.9295537,151.7354508,1162181
